Number,Color,Parity,Range
0,Green,None,None
1,Red,Odd,Low
2,Black,Even,Low
3,Red,Odd,Low
4,Black,Even,Low
5,Red,Odd,Low
6,Black,Even,Low
7,Red,Odd,Low
8,Black,Even,Low
9,Red,Odd,Low
10,Black,Even,Low
11,Black,Odd,Low
12,Red,Even,Low
13,Black,Odd,Low
14,Red,Even,Low
15,Black,Odd,Low
16,Red,Even,Low
17,Black,Odd,Low
18,Red,Even,Low
19,Red,Odd,High
20,Black,Even,High
21,Red,Odd,High
22,Black,Even,High
23,Red,Odd,High
24,Black,Even,High
25,Red,Odd,High
26,Black,Even,High
27,Red,Odd,High
28,Black,Even,High
29,Black,Odd,High
30,Red,Even,High
31,Black,Odd,High
32,Red,Even,High
33,Black,Odd,High
34,Red,Even,High
35,Black,Odd,High
36,Red,Even,High